member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,image_url,profile_url
44,松下 実夢,2000/07/10,石川,ENFP,160,料理、映画・アニメ鑑賞,ダンス,59,55,31,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/088_matsushitamiyu.jpg,https://produce101.jp/profile/detail/?id=088_matsushitamiyu&lang=ja
45,水上 凜巳花,2003/07/10,福岡,ENFP,164,ホラー映画を観ること(その中で生きる方法を考えること),誰とでも仲良くなれること,26,28,34,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/089_mizukamirimika.jpg,https://produce101.jp/profile/detail/?id=089_mizukamirimika&lang=ja
46,村上 璃杏,2006/09/30,岡山,INFP,164,寝ること、食べること、コスメ集め,早口言葉,23,20,17,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/090_murakamirinon.jpg,https://produce101.jp/profile/detail/?id=090_murakamirinon&lang=ja
47,山崎 美月,2001/08/17,東京,ENTJ,162,空観察、推理小説読解、ラテアート,料理、パン・お菓子作り、金魚すくい、UFOキャッチャー、空手,24,29,41,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/095_yamazakimitsuki.jpg,https://produce101.jp/profile/detail/?id=095_yamazakimitsuki&lang=ja
48,山本 すず,2006/12/16,東京,INFP,164,ドラマ鑑賞,空手,1,3,5,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/096_yamamotosuzu.jpg,https://produce101.jp/profile/detail/?id=096_yamamotosuzu&lang=ja
49,吉田 彩乃,2001/12/21,大阪,INFJ,156,パン屋巡り、古着屋巡り,口笛,53,51,45,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/097_yoshidaayano.jpg,https://produce101.jp/profile/detail/?id=097_yoshidaayano&lang=ja
50,吉田 花夏,2006/05/10,奈良,ESFJ,166,音楽鑑賞、ファッション,ミッキーマウスのモノマネ,48,44,33,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/098_yoshidahana.jpg,https://produce101.jp/profile/detail/?id=098_yoshidahana&lang=ja
51,青木 友香,2003/10/19,栃木,ENFJ,161,パン屋巡り、グルメサーチ,英語と韓国語、クラシックバレエ、カラスの鳴き真似、鼻と耳を同時に動かすこと,72,75,81,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/002_aokiyuka.jpg,https://produce101.jp/profile/detail/?id=002_aokiyuka&lang=ja
52,井餘田 華,2006/11/07,東京,ESFP,161,人間観察、食べること,ダンス、人の顔と名前をすぐに覚えること,63,64,71,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/011_iyotahana.jpg,https://produce101.jp/profile/detail/?id=011_iyotahana&lang=ja
53,植木 美々,2007/10/28,神奈川,ESFP,169,手指消毒、K-POPアイドルの真似、野球観戦,1人でクレヨンしんちゃん、ドラム,51,57,63,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/012_uekimimi.jpg,https://produce101.jp/profile/detail/?id=012_uekimimi&lang=ja
54,及川 里桜,2006/05/02,宮城,ENTJ,168,水遊び全般,足の指が器用なこと,39,46,56,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/015_oikawario.jpg,https://produce101.jp/profile/detail/?id=015_oikawario&lang=ja
55,太田 紗蘭,2005/04/19,神奈川,ENFJ,165.5,音楽を聴くこと、写真を撮ること,肩甲骨コントロール,94,90,90,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/016_otasara.jpg,https://produce101.jp/profile/detail/?id=016_otasara&lang=ja
56,岡部 望々花,2005/08/22,京都,ESFP,157,ショッピング、犬の動画を見ること,K-POPカバーダンス、ブリッジ歩き、ハンバーガー作り,73,81,69,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/018_okabenonoka.jpg,https://produce101.jp/profile/detail/?id=018_okabenonoka&lang=ja
57,岡村 菜那,2005/08/19,北海道,ENFP,159,K-POP・ドラマ鑑賞、好きな音楽を聴いてリズムに乗ってノリノリになること、子猫の動画をみること、深夜にモッパンを見ること,テニス、人を笑顔にすること,58,61,67,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/019_okamuranana.jpg,https://produce101.jp/profile/detail/?id=019_okamuranana&lang=ja
58,小田 有葉,2002/06/06,東京,ENFP,155,映画を観ること、音楽を聴くこと,ダンス,33,41,53,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/020_odaaruha.jpg,https://produce101.jp/profile/detail/?id=020_odaaruha&lang=ja
59,小栁 絵美,2003/11/29,インドネシア,ESFJ,156,ダンス、ショッピング,ウィンク,61,66,73,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/021_oyanagiemi.jpg,https://produce101.jp/profile/detail/?id=021_oyanagiemi&lang=ja
60,片岡 陽音,2004/09/02,大阪,ENFJ,159,ダンス、アイドル鑑賞、お友達と話すこと,踊る時手先を綺麗に魅せること,70,69,82,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/023_kataokario.jpg,https://produce101.jp/profile/detail/?id=023_kataokario&lang=ja
