songID,varID,lyrics_writer,song_writer,arranger,link,singleID,albumID
93,1,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,30,
93,2,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPDE-1056/,30,
93,3,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPDE-1056/,30,
93,4,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPDE-1056/,30,
93,5,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,133
93,6,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,135
93,7,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,135
93,8,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,135
93,9,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,135
93,10,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,135
94,1,,つんく,つんく,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
95,1,,つんく,つんく,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
96,1,つんく,つんく,BYE II 3,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
97,1,つんく,つんく,下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
98,1,,つんく,つんく,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
99,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
100,1,,つんく,つんく,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
101,1,つんく,つんく,U.M.E.D.Y.,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
102,1,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
102,2,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5595/,,102
102,3,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5595/,,76
103,1,,つんく,つんく,http://www.up-front-works.jp/release/detail/EPCE-5032/,,7
104,1,AKA$AKA,真田カオル,真田カオル,,31,
105,1,AKA$AKA,真田カオル,真田カオル,https://musicbrainz.org/release-group/939e3ebf-8e49-3cd8-aea2-0a246661f1ec,31,
106,1,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/HKCN-50135/,32,
106,2,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5094/,,14
106,3,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5193/,,32
106,4,つんく,つんく,WMPTARMIGAN,,,210
106,5,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/HKCN-50135/,361,
106,6,つんく,つんく,松原憲,,,234
107,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPDE-1063/,32,
108,1,森高千里,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5597/,33,
109,1,森高千里,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5129/,33,
110,1,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5595/,34,
110,2,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5054/,,9
110,3,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/EPCE-5243/,149,
110,4,つんく,つんく,小西貴雄、下町兄弟,http://www.up-front-works.jp/release/detail/PKCP-5278/,,165
111,1,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5505/,35,
111,2,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5321/,35,
111,3,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5321/,35,
111,4,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5054/,,9
111,5,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
112,1,つんく,つんく,山木隆一郎,http://www.up-front-works.jp/release/detail/EPCE-5661/,35,
113,1,つんく,つんく,棚橋UNA信仁,http://www.up-front-works.jp/release/detail/EPCE-5600/,36,
114,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5702/,36,
115,1,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,37,
115,2,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5094/,,14
115,3,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/PKCP-5014/,,34
115,4,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,140
115,5,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,140
115,6,つんく,つんく,小西貴雄,https://recochoku.jp/album/A2000272664/,,140
116,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPDE-1073/,37,
116,2,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPDE-1071/,38,
116,3,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPDE-1072/,39,
116,4,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5054/,,9
116,5,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/PKCP-5043/,,54
117,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5602/,38,
117,2,つんく,つんく,河野伸,https://wmg.jp/heike/discography/2027/,,11
117,3,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/HKCN-50016/,,49
118,1,つんく,つんく,松原憲,http://www.up-front-works.jp/release/detail/EPCE-5602/,39,
119,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
120,1,つんく,つんく,小西貴雄,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
121,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
121,2,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/PKCP-5034/,,48
122,1,つんく,つんく,BACK Ya-Low PRODUCTION,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
123,1,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5089/,,8
123,2,つんく,つんく,ダンス☆マン,http://www.up-front-works.jp/release/detail/EPCE-5064/,,10
123,3,つんく,つんく,WMPTARMIGAN,,,210
124,1,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
124,2,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5064/,,10
125,1,つんく,つんく,山内薫,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
126,1,つんく (Rapアレンジ：U.M.E.D.Y.),つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
127,1,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳),http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
128,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5051/,,8
129,1,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5595/,40,
129,2,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/EPCE-5306/,176,
130,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5068/,40,
131,1,坂口照幸,曽根幸明,竜崎孝路,https://musicbrainz.org/release-group/eeff539e-1081-348d-ae0e-8b731238d371,41,
132,1,麻こよみ,大谷明裕,竜崎孝路,https://musicbrainz.org/release-group/eeff539e-1081-348d-ae0e-8b731238d371,41,
133,1,まこと、つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5597/,42,
133,2,まこと、つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/SPRE-004/,42,
134,1,つんく,つんく,和田春彦,http://www.up-front-works.jp/release/detail/UFCW-1101/,,9
135,1,つんく,つんく,河野伸,https://www.sonymusic.co.jp/artist/CoconutsMusume/discography/SRCL-4817,43,
135,2,つんく,つんく,河野伸,https://www.sonymusic.co.jp/artist/CoconutsMusume/discography/SRCL-4817,43,
135,3,つんく,つんく,河野伸,http://www.up-front-works.jp/release/detail/PKCP-5033/,153,
136,1,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳),http://www.up-front-works.jp/release/detail/EPCE-5505/,44,
136,2,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
