name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,week_6_rank,week_8_rank,week_10_rank
田端 那菜,2006/01/01,埼玉,ENFP,162,音楽を聴くこと、写真を撮ること、かわいいねこちゃんを探すこと,ダンス、ねこの鳴き真似、利きメロンソーダ,65,62,64,,,
田淵 美優,2004/03/09,岡山,INTP,163,食べること、カラオケ,ダンス、柔軟性、踊る時の表情管理,91,82,86,,,
中野 心結,2007/01/10,東京,INFJ,160,作詞作曲、顔の絵を描くこと、国語の教科書文の考察,演技、筋トレに耐えること,16,13,19,29,31,35
中村 葵,2006/03/07,長野,INFP,157,映画鑑賞、料理、編み物,料理、K-POPダンス,81,92,76,,,
中村 璃彩,2005/08/11,大阪,ESFP,160,1人カラオケ、猫と遊ぶこと,クラシックバレエ,93,89,89,,,
中森 琴音,2001/11/03,福岡,ISTP,163,美味しいものを食べること、ショッピング、映画鑑賞,ダンス、大食い、アクロバット,49,34,39,49,48,
中森 美琴,2001/11/03,福岡,ISFP,162,カフェ巡り、美味しいご飯を見つけること、服、温泉,ダンス、アクロバット、料理、ラテアート,52,37,44,50,50,
中山 穗乃楓,2002/09/28,愛知,ENFP,166,映画・舞台・音楽鑑賞、ドラム、コスメ集め、ファッション,クレヨンしんちゃんモノマネ,84,88,78,,,
八田 芽奈,2006/06/08,兵庫,ESFP,163,ダンス、インスタ映えスポットに行くこと,話しかけること、ポーズをとること,27,22,16,24,29,31
濵嵜 愛子,2003/10/18,福岡,INFP,160,子どもと遊ぶこと、クラシックバレエ、コンテンポラリーダンス,朗読、読み聞かせ、どこでも寝られること,57,56,62,,,
坂東 楓夏,2004/08/31,東京,ESFP,162,踊ること、おしゃべり、トッポのチョコの部分を折らずに周りを食べること,みんなを笑顔にすること,67,59,60,,,
日髙 葉月,2007/08/08,大阪,ENFP,166,オシャレをすること,食べること,37,40,40,30,30,34
